date,open,high,low,close,volume
2007/9/19,13740.61,13867.5,13739.88,13815.56,276594000
2007/9/20,13813.52,13822.14,13741.01,13766.7,200885000
2007/9/21,13768.33,13877.17,13768.25,13820.19,419389000
2007/9/24,13821.57,13874.41,13750.93,13759.06,236688000
2007/9/25,13757.84,13787.19,13696.31,13778.65,213043000
2007/9/26,13779.3,13915.79,13779.3,13878.15,206564000
2007/9/27,13879.53,13920.42,13868.15,13912.94,156924000
2007/9/28,13912.94,13924.81,13850.27,13895.63,203030000
2007/10/1,13895.71,14115.51,13893.51,14087.55,205716000
2007/10/2,14087.14,14107.47,14012.11,14047.31,169272000
2007/10/3,14038.86,14038.94,13947.73,13968.05,178924000
2007/10/4,13967.89,14010.41,13951.63,13974.31,143301000
2007/10/5,13969.07,14124.54,13968.83,14066.01,183544000
2007/10/8,14065.36,14067.96,14009.67,14043.73,116418000
2007/10/9,14043.73,14166.97,14034.39,14164.53,176735000
2007/10/10,14060.64,14105.68,14009.51,14078.69,163282000
2007/10/11,14079.1,14198.1,13950.25,14015.12,235091000
2007/10/12,14016.34,14101.77,14013.74,14093.08,178741000
2007/10/15,14092.43,14118.52,13904.32,13984.8,220490000
2007/10/16,13986.34,13992.03,13877.9,13912.94,229921000
2007/10/17,13920.66,14012.84,13774.67,13892.54,315416000
2007/10/18,13887.9,13913.75,13820.35,13888.96,205542000
2007/10/19,13888.47,13888.47,13511.94,13522.02,332354000
2007/10/22,13521.62,13587.22,13407.49,13566.97,229436000
2007/10/23,13568.93,13684.6,13540.88,13676.23,206549000
2007/10/24,13675.58,13690.45,13470.16,13675.25,259154000
2007/10/25,13677.85,13741.26,13547.63,13671.92,274331000
2007/10/26,13675.66,13811.25,13675.25,13806.7,311391000
2007/10/29,13807.35,13901.4,13805.31,13870.26,207933000
2007/10/30,13869.04,13869.29,13778.41,13792.47,189733000
2007/10/31,13792.06,13962.53,13767.68,13930.01,277658000
2007/11/1,13924.16,13924.16,13548.93,13567.87,335561000
2007/11/2,13569.9,13632.9,13446.02,13595.1,279781000
2007/11/5,13592.58,13618.27,13446.91,13543.4,259589000
2007/11/6,13542.34,13669.72,13511.86,13660.94,252364000
2007/11/7,13646.72,13647.29,13285.63,13300.02,273051000
2007/11/8,13299.7,13354,13079.48,13266.29,403675000
2007/11/9,13261.17,13262.14,13017.3,13042.74,356841000
2007/11/12,13039.16,13162.64,12981.04,12987.55,291982000
2007/11/13,12975.11,13319.45,12975.11,13307.09,298255000
2007/11/14,13305.47,13367.17,13197.84,13223.93,267512000
2007/11/15,13230.68,13262.14,13055.83,13110.05,242567000
2007/11/16,13109.48,13211.17,13050.55,13176.79,314921000
2007/11/19,13176.3,13176.3,12937.63,12958.44,285792000
2007/11/20,12955.92,13107.37,12839.68,13010.14,325807000
2007/11/21,13006.65,13007.71,12786.03,12799.04,284548000
2007/11/23,12796.07,12980.88,12796.07,12980.88,122246000
2007/11/26,12979.99,13037.3,12724.09,12743.44,265608000
2007/11/27,12744.78,12991.85,12744.78,12958.44,296075000
2007/11/28,12958.04,13325.87,12958.04,13289.45,310076000
2007/11/29,13287.91,13346.27,13214.75,13311.73,201410000
2007/11/30,13314.25,13466.99,13281.65,13371.72,312572000
2007/12/3,13368.22,13407.24,13296.28,13314.57,212174000
2007/12/4,13311.24,13316.28,13237.59,13248.73,204936000
2007/12/5,13244.01,13460.24,13244.01,13444.96,256796000
2007/12/6,13445.85,13632.9,13426.18,13619.89,197268000
2007/12/7,13618.27,13668.1,13601.36,13625.58,179419000
2007/12/10,13623.55,13754.02,13623.55,13727.03,190224000
2007/12/11,13726.87,13780.11,13413.74,13432.77,280630000
2007/12/12,13434.8,13704.52,13321.64,13473.9,310465000
2007/12/13,13473.98,13527.63,13353.92,13517.96,248801000
2007/12/14,13515.11,13515.36,13332.13,13339.85,245593000
2007/12/17,13339.2,13339.45,13158.42,13167.2,243391000
2007/12/18,13168.66,13279.46,13092,13232.47,233023000
2007/12/19,13231.98,13300.43,13146.79,13207.27,208326000
2007/12/20,13206.46,13288.4,13153.62,13245.64,203911000
2007/12/21,13241.66,13473.98,13241.57,13450.65,430598000
2007/12/24,13450.73,13563.48,13449.27,13549.33,86404000
2007/12/26,13547.95,13563.32,13492.68,13551.69,122406000
2007/12/27,13549.17,13551.04,13349.28,13359.61,145775000
2007/12/28,13361.23,13451.38,13298.15,13365.87,142930000
2007/12/31,13364.16,13364.73,13246.53,13264.82,167243000
2008/1/2,13261.82,13279.54,12991.37,13043.96,239582000
2008/1/3,13044.12,13137.93,13023.56,13056.72,200617000
2008/1/4,13046.56,13046.72,12789.04,12800.18,304209000
2008/1/7,12801.15,12884.15,12733.84,12827.49,306696000
2008/1/8,12820.9,12906.42,12565.41,12589.07,322690000
2008/1/9,12590.21,12738.64,12501.76,12735.31,332904000
2008/1/10,12733.11,12931.29,12632.15,12853.09,325332000
2008/1/11,12850.74,12851.14,12543.87,12606.3,301895000
2008/1/14,12613.78,12794.57,12613.7,12778.15,245369000
2008/1/15,12777.5,12777.5,12488.76,12501.11,339693000
